precursor_combination,plate_number,turbidity
M34,02,36.2674345740352
N17,04,75.85181287239655
N18,04,53.24155119775091
N19,04,53.958910639485964
N20,04,53.91445824157091
N21,04,45.959129074804544
N22,04,58.81525794116312
N23,04,65.91787111678177
N24,04,54.305960589513795
N25,01,33.50450087600724
N26,01,27.922453191964223
N27,01,36.0453144264159
N28,01,30.195806040493718
N29,01,31.952765384850313
N30,01,30.56649747687963
N31,01,35.91227545602958
N32,01,30.76197840805526
N33,02,24.150737204856117
N34,02,23.10810739425811
O17,04,63.525696653854304
O18,04,55.772310546215294
O19,04,61.80723057311581
O20,04,50.0303428087609
O21,04,73.02181840286966
O22,04,60.71495101922184
O23,04,62.42634802196829
O24,04,51.44799842731036
O25,01,27.196924444317258
O26,01,52.90736963528821
O27,01,54.93663147018615
O28,01,46.43353721658687
O29,01,32.544462016460194
O30,01,38.15039010863695
O31,01,42.83107321400408
O32,01,60.99708408568662
O33,02,26.646382307009663
O34,02,32.21091442565171
P17,04,55.77585893739615
P18,04,56.124806028990406
P19,04,68.53073291231453
P20,04,65.92206388446307
P21,04,58.71084811752365
P22,04,82.57904706232969
P23,04,69.1311755104596
P24,04,48.31997089523363
P25,01,37.77548566168202
P26,01,42.06266100565326
P27,01,50.37404036847652
P28,01,46.25778792265639
P29,01,34.0867410126657
P30,01,39.70005509287972
P31,01,47.70757451469892
P32,01,75.90030050096489
P33,02,22.937723483167858
P34,02,35.810401570232315
Q17,04,83.73917796075193
Q18,04,50.722888174269336
Q19,04,68.01973951240713
Q20,04,51.87490705335804
Q21,04,62.71173196176813
Q22,04,69.57190498755168
Q23,04,58.535860656435744
Q24,04,50.11619293264898
Q25,01,37.87730539812531
Q26,01,50.75077230647091
Q27,01,65.66117912377595
Q28,01,42.627635665514184
Q29,01,27.44861671833127
Q30,01,42.7752550235868
Q31,01,54.160971694332765
Q32,01,83.38249433750651
Q33,02,29.985468167766545
Q34,02,55.261264669111725
R17,04,45.37364358488271
R18,04,47.31192126886064
R19,04,57.99663585492499
R20,04,49.726901557723615
R21,04,69.2172913024289
R22,04,48.63076680276264
R23,04,51.324257172886526
R24,04,45.26724421274207
R25,01,29.392683539323865
R26,01,26.071873026002425
R27,04,22.634868757710603
R28,04,22.026088819478613
R29,04,21.683211306696506
R30,04,22.099049761533138
R31,04,22.184545122918937
R32,04,22.40111655075847
R33,04,20.816426820020265
R34,04,22.202783538437735
S17,02,30.891415557729967
S18,03,24.345263038438823
S19,03,43.84408427592077
S20,03,30.904789724245706
S21,02,32.053686533848996
S22,03,26.845735456204885
S23,03,33.2262591608658
S24,03,24.80413330757672
S25,03,
S26,03,27.085720297970685
S27,03,40.32279455780092
S28,03,37.145523189455695
S29,03,30.381201639047777
S30,03,30.079458172465287
S31,03,39.05673508272459
S32,03,32.29829155876286
S33,03,24.593158119275333
S34,03,40.12649297478242
T17,02,75.35679880601778
T18,03,33.85985464144613
T19,03,42.69906911175469
T20,03,26.082786560511984
T21,02,50.237403072728846
T22,03,27.391257247104896
T23,03,49.89317185736545
T24,03,26.819445786664367
T25,03,47.56912673787412
T26,03,66.63379677296057
T27,03,78.76804612408357
T28,03,60.867132557189436
T29,03,36.095823907763055
T30,03,55.73978228359979
T31,03,60.17295929195362
T32,03,54.769258718260595
T33,03,21.277390788366706
T34,03,48.06462229197826
U17,02,39.28340375317203
U18,03,30.47435545109709
U19,03,58.27436733747882
U20,03,85.30563187870112
U21,02,
U22,03,99.15532274346502
U23,03,59.66060668258397
U24,03,48.01225256505986
U25,03,28.470370263351267
U26,03,41.759807088465536
U27,03,59.69183421597317
U28,03,61.25775173369664
U29,03,24.345896495631536
U30,03,42.53278921238639
U31,03,30.918623290779482
U32,03,47.55838023309292
U33,03,28.70607889262225
U34,03,50.1406529840919
