,precursor_combination,plate_number,turbidity
245,O22,4,60.71495102
246,O23,4,62.42634802
247,O24,4,51.44799843
248,O25,1,27.19692444
249,O26,1,52.90736964
250,O27,1,54.93663147
251,O28,1,46.43353722
252,O29,1,32.54446202
253,O30,1,38.15039011
254,O31,1,42.83107321
255,O32,1,60.99708409
256,O33,2,26.64638231
257,O34,2,32.21091443
258,P17,4,55.77585894
259,P18,4,56.12480603
260,P19,4,68.53073291
261,P20,4,65.92206388
262,P21,4,58.71084812
263,P22,4,82.57904706
264,P23,4,69.13117551
265,P24,4,48.3199709
266,P25,1,37.77548566
267,P26,1,42.06266101
268,P27,1,50.37404037
269,P28,1,46.25778792
270,P29,1,34.08674101
271,P30,1,39.70005509
272,P31,1,47.70757451
273,P32,1,75.9003005
274,P33,2,22.93772348
275,P34,2,35.81040157
276,Q17,4,83.73917796
277,Q18,4,50.72288817
278,Q19,4,68.01973951
279,Q20,4,51.87490705
280,Q21,4,62.71173196
281,Q22,4,69.57190499
282,Q23,4,58.53586066
283,Q24,4,50.11619293
284,Q25,1,37.8773054
285,Q26,1,50.75077231
286,Q27,1,65.66117912
287,Q28,1,42.62763567
288,Q29,1,27.44861672
289,Q30,1,42.77525502
290,Q31,1,54.16097169
291,Q32,1,83.38249434
292,Q33,2,29.98546817
293,Q34,2,55.26126467
294,R17,4,45.37364358
295,R18,4,47.31192127
296,R19,4,57.99663585
297,R20,4,49.72690156
298,R21,4,69.2172913
299,R22,4,48.6307668
300,R23,4,51.32425717
301,R24,4,45.26724421
302,R25,1,29.39268354
303,R26,1,26.07187303
304,R27,4,22.63486876
305,R28,4,22.02608882
306,R29,4,21.68321131
307,R30,4,22.09904976
308,R31,4,22.18454512
309,R32,4,22.40111655
310,R33,4,20.81642682
311,R34,4,22.20278354
312,S17,2,30.89141556
313,S18,3,24.34526304
314,S19,3,43.84408428
315,S20,3,30.90478972
316,S21,2,32.05368653
317,S22,3,26.84573546
318,S23,3,33.22625916
319,S24,3,24.80413331
320,S25,3,26.12443913
321,S26,3,27.0857203
322,S27,3,40.32279456
323,S28,3,37.14552319
324,S29,3,30.38120164
325,S30,3,30.07945817
326,S31,3,39.05673508
327,S32,3,32.29829156
328,S33,3,24.59315812
329,S34,3,40.12649297
330,T17,2,75.35679881
331,T18,3,33.85985464
332,T19,3,42.69906911
333,T20,3,26.08278656
334,T21,2,50.23740307
335,T22,3,27.39125725
336,T23,3,49.89317186
337,T24,3,26.81944579
338,T25,3,47.56912674
339,T26,3,66.63379677
340,T27,3,78.76804612
341,T28,3,60.86713256
342,T29,3,36.09582391
343,T30,3,55.73978228
344,T31,3,60.17295929
345,T32,3,54.76925872
346,T33,3,21.27739079
347,T34,3,48.06462229
348,U17,2,39.28340375
349,U18,3,30.47435545
350,U19,3,58.27436734
351,U20,3,85.30563188
352,U21,2,57.46048838
353,U22,3,99.15532274
354,U23,3,59.66060668
355,U24,3,48.01225257
356,U25,3,28.47037026
357,U26,3,41.75980709
358,U27,3,59.69183422
359,U28,3,61.25775173
360,U29,3,24.3458965
361,U30,3,42.53278921
362,U31,3,30.91862329
363,U32,3,47.55838023
364,U33,3,28.70607889
365,U34,3,50.14065298
