,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology
53,AB-02-005,1,30,Di6,TriD,4,6,H1,1,2042.1715176255,2042.17584,2043.17288,32670.0,4+6
54,AB-02-005,1,31,Di7,TriD,2,3,H2,2,547.2987481803,547.30118,547.80338,1369000.0,2+3
55,AB-02-005,1,31,Di7,TriD,2,3,H1,1,1093.5896713287,1093.59395,1094.59772,3168000.0,2+3
56,AB-02-005,1,31,Di7,TriD,4,6,H2,2,1093.5896713287,1093.59395,1094.08755,3168000.0,4+6
57,AB-02-005,1,31,Di7,TriD,2,3,Na1,1,1115.5716155777,1115.57693,1116.57983,552100.0,2+3
58,AB-02-005,1,31,Di7,TriD,2,3,K1,1,1131.5455529768,1131.5491,1132.55266,336800.0,2+3
59,AB-02-005,1,31,Di7,TriD,4,6,H1,1,2186.1715176255,2186.17035,2187.17387,107600.0,4+6
60,AB-02-005,1,33,Di1,TriE,4,6,H1,1,1341.9021124771,1341.90269,1342.90713,44160.0,4+6
61,AB-02-005,1,34,Di2,TriE,2,3,Na2,2,466.29961402500004,466.30317,466.80482,226800.0,2+3
62,AB-02-005,1,34,Di2,TriE,2,3,H1,1,887.6275145201,887.63182,888.63466,14180000.0,2+3
63,AB-02-005,1,34,Di2,TriE,2,3,Na1,1,909.6094587691,909.61297,910.61646,6163000.0,2+3
64,AB-02-005,1,34,Di2,TriE,2,3,K1,1,925.5833961682,925.57973,926.58297,5486000.0,2+3
65,AB-02-005,1,35,Di3,TriE,2,3,H2,2,429.1241339875,429.12577,429.62744,4604000.0,2+3
66,AB-02-005,1,35,Di3,TriE,2,3,H1,1,857.2404429431,857.24411,858.24685,11290000.0,2+3
67,AB-02-005,1,35,Di3,TriE,2,3,Na1,1,879.2223871921,879.22528,880.22863,991800.0,2+3
68,AB-02-005,1,36,Di4,TriE,2,3,H1,1,671.4549687545,671.45788,672.46225,18020000.0,2+3
69,AB-02-005,1,36,Di4,TriE,2,3,Na1,1,693.4369130035,693.44144,694.44375,1919000.0,2+3
70,AB-02-005,1,37,Di5,TriE,2,3,H1,1,887.3419070117001,887.34546,888.34965,2369000.0,2+3
71,AB-02-005,1,38,Di6,TriE,2,3,H2,2,450.2783470846,450.28101,450.78193,14010000.0,2+3
72,AB-02-005,1,38,Di6,TriE,2,3,H1,1,899.5488691373,899.55678,900.55693,19440000.0,2+3
73,AB-02-005,1,38,Di6,TriE,2,3,Na1,1,921.5308133863,921.53452,922.53772,746200.0,2+3
74,AB-02-005,1,39,Di7,TriE,2,3,H2,2,486.2783470846,486.27996,486.78014,1838000.0,2+3
75,AB-02-005,1,39,Di7,TriE,2,3,H1,1,971.5488691373,971.55229,972.55613,4239000.0,2+3
